GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyHrCrmProject,com.myhrcrmproject.controller,CommunicationController,0,95,0,0,0,13,0,12,0,12
MyHrCrmProject,com.myhrcrmproject.controller,TaskController,0,135,0,0,0,17,0,16,0,16
MyHrCrmProject,com.myhrcrmproject.controller,GlobalExceptionHandler,29,31,0,0,4,5,4,5,4,5
MyHrCrmProject,com.myhrcrmproject.controller,ContractController,0,94,0,0,0,13,0,12,0,12
MyHrCrmProject,com.myhrcrmproject.controller,EmployeeController,3,47,0,0,1,7,1,6,1,6
MyHrCrmProject,com.myhrcrmproject.controller,ClientController,0,50,0,0,0,8,0,7,0,7
MyHrCrmProject,com.myhrcrmproject.controller,InterviewController,0,87,0,0,0,12,0,11,0,11
MyHrCrmProject,com.myhrcrmproject.controller,UserDetailsController,3,60,0,0,1,11,1,7,1,7
MyHrCrmProject,com.myhrcrmproject.controller,CandidateController,0,68,0,0,0,10,0,9,0,9
MyHrCrmProject,com.myhrcrmproject.controller,VacancyController,0,68,0,0,0,10,0,9,0,9
MyHrCrmProject,com.myhrcrmproject.controller,CompensationController,0,68,0,0,0,10,0,9,0,9
MyHrCrmProject,com.myhrcrmproject.controller,AuthController,0,47,0,0,0,8,0,3,0,3
MyHrCrmProject,com.myhrcrmproject.service.auth,SecurityHelper,0,82,0,12,0,16,0,11,0,5
MyHrCrmProject,com.myhrcrmproject.service.auth,JwtTokenProvider,6,74,0,0,2,24,0,4,0,4
MyHrCrmProject,com.myhrcrmproject.service.validation,InvalidJwtException,0,8,0,0,0,3,0,2,0,2
MyHrCrmProject,com.myhrcrmproject.service.validation,NotFoundException,0,4,0,0,0,2,0,1,0,1
MyHrCrmProject,com.myhrcrmproject.service.validation,AlreadyExistsException,0,4,0,0,0,2,0,1,0,1
MyHrCrmProject,com.myhrcrmproject.service,TaskService,0,502,0,18,0,92,0,34,0,25
MyHrCrmProject,com.myhrcrmproject.service,CompensationService,6,156,0,0,0,28,1,10,1,10
MyHrCrmProject,com.myhrcrmproject.service,ContractService,6,239,0,0,0,43,1,13,1,13
MyHrCrmProject,com.myhrcrmproject.service,CandidateService,8,189,2,4,1,34,2,14,0,13
MyHrCrmProject,com.myhrcrmproject.service,InterviewService,0,266,0,8,0,50,0,19,0,15
MyHrCrmProject,com.myhrcrmproject.service,EmployeeService,6,119,0,2,0,20,1,9,1,8
MyHrCrmProject,com.myhrcrmproject.service,UserDetailsServiceImpl,13,259,1,3,1,46,2,15,1,14
MyHrCrmProject,com.myhrcrmproject.service,ClientService,6,106,0,0,0,18,1,8,1,8
MyHrCrmProject,com.myhrcrmproject.service,VacancyService,0,159,0,2,0,28,0,13,0,12
MyHrCrmProject,com.myhrcrmproject.service,CommunicationService,0,240,0,4,0,41,0,16,0,14
MyHrCrmProject,com.myhrcrmproject.scheduler,ScheduleExecutor,0,12,0,0,0,4,0,2,0,2
MyHrCrmProject,com.myhrcrmproject,MyHrCrmProjectApplication,5,3,0,0,2,1,1,1,1,1
MyHrCrmProject,com.myhrcrmproject.service.utills,InterviewConverter,0,166,0,6,0,39,0,8,0,5
MyHrCrmProject,com.myhrcrmproject.service.utills,CommunicationConverter,0,214,0,14,0,39,0,12,0,5
MyHrCrmProject,com.myhrcrmproject.service.utills,Helper,6,89,3,5,1,21,3,7,0,6
MyHrCrmProject,com.myhrcrmproject.service.utills,ClientConverter,0,48,0,0,0,14,0,5,0,5
MyHrCrmProject,com.myhrcrmproject.service.utills,EmployeeConverter,0,100,0,6,0,26,0,8,0,5
MyHrCrmProject,com.myhrcrmproject.service.utills,CandidateConverter,0,230,0,16,0,60,0,15,0,7
MyHrCrmProject,com.myhrcrmproject.service.utills,AddressDetailsConverter,0,72,0,0,0,15,0,4,0,4
MyHrCrmProject,com.myhrcrmproject.service.utills,CompensationConverter,0,115,0,0,0,23,0,5,0,5
MyHrCrmProject,com.myhrcrmproject.service.utills,ContactDetailsConverter,4,44,0,0,1,10,1,3,1,3
MyHrCrmProject,com.myhrcrmproject.service.utills,UserDetailsConverter,0,76,0,0,0,23,0,6,0,6
MyHrCrmProject,com.myhrcrmproject.service.utills,ContractConverter,0,154,0,6,0,30,0,8,0,5
MyHrCrmProject,com.myhrcrmproject.service.utills,TaskConverter,0,189,0,6,0,36,0,8,0,5
MyHrCrmProject,com.myhrcrmproject.service.utills,VacancyConverter,0,152,0,4,0,36,0,7,0,5
